NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BIOCARTA_IL12_PATHWAY	BIOCARTA_IL12_PATHWAY		19	-0.2938281	-0.92597705	0.5627178	0.75390005	1.0	4054	tags=58%, list=26%, signal=78%	
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN	REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN		47	-0.23592792	-0.9234679	0.5891341	0.7583032	1.0	3178	tags=21%, list=21%, signal=27%	
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION		270	-0.17505828	-0.9230352	0.6735905	0.7583321	1.0	4936	tags=35%, list=32%, signal=50%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS		38	-0.2468932	-0.92295736	0.57586205	0.75763285	1.0	3855	tags=37%, list=25%, signal=49%	
REACTOME_RUNX3_REGULATES_P14_ARF	REACTOME_RUNX3_REGULATES_P14_ARF		6	-0.41633978	-0.921794	0.5495327	0.75929797	1.0	3679	tags=33%, list=24%, signal=44%	
BIOCARTA_AKAPCENTROSOME_PATHWAY	BIOCARTA_AKAPCENTROSOME_PATHWAY		12	-0.32957485	-0.9212632	0.57992566	0.7595408	1.0	5189	tags=50%, list=34%, signal=75%	
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL		11	-0.3361986	-0.92104834	0.5667276	0.7591219	1.0	2569	tags=45%, list=17%, signal=55%	
REACTOME_P38MAPK_EVENTS	REACTOME_P38MAPK_EVENTS		7	-0.3975327	-0.9204158	0.5596154	0.7596726	1.0	4291	tags=57%, list=28%, signal=79%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3		72	-0.21318768	-0.9198482	0.6126761	0.76000774	1.0	4411	tags=29%, list=29%, signal=41%	
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES		27	-0.26714563	-0.91978335	0.57039714	0.7592886	1.0	4349	tags=41%, list=28%, signal=57%	
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING		7	-0.39797422	-0.91953105	0.5946463	0.7589657	1.0	3697	tags=57%, list=24%, signal=75%	
REACTOME_COBALAMIN_CBL_METABOLISM	REACTOME_COBALAMIN_CBL_METABOLISM		7	-0.3956714	-0.9178948	0.58674467	0.7614495	1.0	1084	tags=14%, list=7%, signal=15%	
WP_HOMOLOGOUS_RECOMBINATION	WP_HOMOLOGOUS_RECOMBINATION		12	-0.33311698	-0.9158649	0.5692884	0.7647925	1.0	10287	tags=100%, list=67%, signal=300%	
REACTOME_CS_DS_DEGRADATION	REACTOME_CS_DS_DEGRADATION		8	-0.38818827	-0.9158549	0.5626204	0.7639508	1.0	1334	tags=25%, list=9%, signal=27%	
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING	REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING		20	-0.28943557	-0.91410875	0.5716846	0.7666847	1.0	4160	tags=45%, list=27%, signal=62%	
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION		18	-0.29608175	-0.9117035	0.59099436	0.770735	1.0	2307	tags=22%, list=15%, signal=26%	
WP_PURINE_METABOLISM	WP_PURINE_METABOLISM		128	-0.18965732	-0.91067666	0.67558527	0.77198225	1.0	5007	tags=32%, list=32%, signal=47%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS		33	-0.25478548	-0.9090681	0.5897436	0.7742831	1.0	5239	tags=39%, list=34%, signal=60%	
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE		33	-0.25347364	-0.9082132	0.6013865	0.7751454	1.0	3503	tags=30%, list=23%, signal=39%	
BIOCARTA_VIP_PATHWAY	BIOCARTA_VIP_PATHWAY		22	-0.27315176	-0.89803755	0.61565834	0.79529643	1.0	3158	tags=27%, list=20%, signal=34%	
REACTOME_PEXOPHAGY	REACTOME_PEXOPHAGY		11	-0.3330385	-0.897428	0.6010733	0.7956292	1.0	3784	tags=45%, list=25%, signal=60%	
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE		5	-0.43683174	-0.89737046	0.5727612	0.79486626	1.0	3878	tags=60%, list=25%, signal=80%	
REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY	REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY		32	-0.24814063	-0.896685	0.61566484	0.7953339	1.0	5239	tags=38%, list=34%, signal=57%	
REACTOME_CREB_PHOSPHORYLATION	REACTOME_CREB_PHOSPHORYLATION		7	-0.38419464	-0.89534646	0.58035713	0.7971358	1.0	576	tags=29%, list=4%, signal=30%	
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING		9	-0.353043	-0.8943407	0.58998144	0.79829	1.0	3967	tags=44%, list=26%, signal=60%	
BIOCARTA_RARRXR_PATHWAY	BIOCARTA_RARRXR_PATHWAY		6	-0.40814856	-0.89338225	0.5865922	0.79933786	1.0	3781	tags=50%, list=25%, signal=66%	
REACTOME_PCP_CE_PATHWAY	REACTOME_PCP_CE_PATHWAY		78	-0.20407341	-0.89296174	0.64332247	0.7993423	1.0	5942	tags=44%, list=39%, signal=71%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION		32	-0.24901208	-0.8920932	0.6222597	0.8002407	1.0	3697	tags=34%, list=24%, signal=45%	
REACTOME_DOWNSTREAM_TCR_SIGNALING	REACTOME_DOWNSTREAM_TCR_SIGNALING		93	-0.19757125	-0.89105433	0.67205167	0.80140835	1.0	4411	tags=31%, list=29%, signal=43%	
REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS	REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS		9	-0.3558164	-0.8910258	0.60036165	0.8005852	1.0	1474	tags=22%, list=10%, signal=25%	
BIOCARTA_HES_PATHWAY	BIOCARTA_HES_PATHWAY		8	-0.37573582	-0.89014095	0.5981132	0.80155456	1.0	2557	tags=25%, list=17%, signal=30%	
BIOCARTA_AGR_PATHWAY	BIOCARTA_AGR_PATHWAY		19	-0.28339675	-0.8900956	0.58679247	0.80077595	1.0	262	tags=11%, list=2%, signal=11%	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	REACTOME_ACYL_CHAIN_REMODELLING_OF_PI		8	-0.36097696	-0.8892392	0.61966604	0.80161625	1.0	3483	tags=38%, list=23%, signal=48%	
REACTOME_NETRIN_1_SIGNALING	REACTOME_NETRIN_1_SIGNALING		11	-0.33452824	-0.88895315	0.5868263	0.80136126	1.0	3379	tags=36%, list=22%, signal=47%	
REACTOME_GAB1_SIGNALOSOME	REACTOME_GAB1_SIGNALOSOME		12	-0.32182693	-0.88892555	0.5837651	0.80055135	1.0	3967	tags=42%, list=26%, signal=56%	
BIOCARTA_ATM_PATHWAY	BIOCARTA_ATM_PATHWAY		19	-0.2825584	-0.88858145	0.62815887	0.80036825	1.0	3158	tags=26%, list=20%, signal=33%	
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS		20	-0.28217402	-0.88675517	0.6	0.8031744	1.0	4180	tags=35%, list=27%, signal=48%	
REACTOME_GENE_SILENCING_BY_RNA	REACTOME_GENE_SILENCING_BY_RNA		41	-0.23229596	-0.8865056	0.64181817	0.80276805	1.0	5335	tags=41%, list=35%, signal=63%	
REACTOME_PENTOSE_PHOSPHATE_PATHWAY	REACTOME_PENTOSE_PHOSPHATE_PATHWAY		14	-0.3101459	-0.8853652	0.6300885	0.80420715	1.0	4052	tags=43%, list=26%, signal=58%	
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS	REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS		15	-0.30536985	-0.8848023	0.60980034	0.80442935	1.0	1724	tags=20%, list=11%, signal=22%	
REACTOME_MIRO_GTPASE_CYCLE	REACTOME_MIRO_GTPASE_CYCLE		7	-0.38242283	-0.88437706	0.6213592	0.8045016	1.0	3960	tags=57%, list=26%, signal=77%	
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE		10	-0.34251672	-0.8835497	0.5914179	0.80529904	1.0	2923	tags=40%, list=19%, signal=49%	
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS		6	-0.41282442	-0.88280976	0.6155268	0.80587244	1.0	2391	tags=33%, list=16%, signal=39%	
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS		9	-0.35969162	-0.8820799	0.6186131	0.8064695	1.0	7023	tags=67%, list=46%, signal=122%	
WP_G_PROTEIN_SIGNALING_PATHWAYS	WP_G_PROTEIN_SIGNALING_PATHWAYS		72	-0.20544836	-0.87817883	0.7108434	0.8134163	1.0	4524	tags=35%, list=29%, signal=49%	
REACTOME_PROSTANOID_LIGAND_RECEPTORS	REACTOME_PROSTANOID_LIGAND_RECEPTORS		6	-0.3986097	-0.8781495	0.6099426	0.8125986	1.0	6898	tags=67%, list=45%, signal=121%	
REACTOME_DEUBIQUITINATION	REACTOME_DEUBIQUITINATION		236	-0.17119536	-0.87783986	0.7651633	0.81233037	1.0	4691	tags=31%, list=30%, signal=44%	
BIOCARTA_STATHMIN_PATHWAY	BIOCARTA_STATHMIN_PATHWAY		19	-0.27461827	-0.8771089	0.62929475	0.8128802	1.0	4524	tags=42%, list=29%, signal=60%	
REACTOME_SYNTHESIS_OF_PE	REACTOME_SYNTHESIS_OF_PE		9	-0.34607792	-0.8769495	0.60194176	0.8123226	1.0	4281	tags=44%, list=28%, signal=61%	
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION	REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION		6	-0.39985502	-0.8766822	0.62330097	0.81198967	1.0	4109	tags=67%, list=27%, signal=91%	
REACTOME_ERBB2_REGULATES_CELL_MOTILITY	REACTOME_ERBB2_REGULATES_CELL_MOTILITY		8	-0.35485315	-0.8755967	0.6052142	0.8133293	1.0	3096	tags=38%, list=20%, signal=47%	
BIOCARTA_41BB_PATHWAY	BIOCARTA_41BB_PATHWAY		17	-0.2866576	-0.87559295	0.61026615	0.81245965	1.0	3158	tags=35%, list=20%, signal=44%	
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS		45	-0.22608961	-0.8748312	0.68600684	0.812983	1.0	2669	tags=24%, list=17%, signal=29%	
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2		14	-0.29735014	-0.8744778	0.639313	0.81275725	1.0	3967	tags=43%, list=26%, signal=58%	
REACTOME_RAB_GERANYLGERANYLATION	REACTOME_RAB_GERANYLGERANYLATION		54	-0.2143644	-0.8727085	0.70628184	0.81538856	1.0	4525	tags=30%, list=29%, signal=42%	
REACTOME_RHOJ_GTPASE_CYCLE	REACTOME_RHOJ_GTPASE_CYCLE		13	-0.31101304	-0.8725225	0.61966604	0.81487674	1.0	1991	tags=31%, list=13%, signal=35%	
